frame;type;from_wall
52;Serve;0
80;Backhand;0
134;Smash;0
169;Forehand;0
236;Forehand;0
250;Backhand;0
268;Forehand;0
334;Backhand;0
385;Smash;0
415;Forehand;0
457;Smash;0
525;Forehand;0
546;Backhand;0
578;Smash;0
632;Backhand;0
673;Smash;0
692;Backhand;0
710;Backhand;0
759;Smash;0
789;Other;0
816;Forehand;0
837;Forehand;0
854;Smash;0
886;Backhand;0
936;Smash;0
947;Other;0
965;Forehand;0
1007;Other;0
1023;Smash;0
1035;Forehand;0
1049;Forehand;0
1084;Backhand;0
1126;Smash;0
