frame;type;from_wall
5;Serve;0
31;Backhand;0
85;Smash;0
152;Smash;0
164;Other;0
183;Forehand;0
212;Backhand;0
240;Smash;0
278;Forehand;0
325;Smash;0
351;Forehand;0
373;Backhand;0
403;Forehand;0
422;Forehand;0
449;Forehand;0
490;Smash;0
526;Forehand;0
558;Other;0
576;Smash;0
606;Forehand;0
626;Forehand;0
663;Backhand;0
702;Backhand;0
734;Forehand;0
768;Smash;0
812;Forehand;0
850;Smash;0
887;Backhand;0
902;Backhand;0
930;Forehand;0
966;Smash;0
991;Backhand;0
1021;Smash;0
1041;Backhand;0
1054;Backhand;0
1077;Forehand;0
1110;Smash;0
1139;Forehand;0
1159;Forehand;0
1180;Backhand;0
1191;Forehand;0
1209;Forehand;0
1225;Other;0
