frame;type;from_wall
29;Serve;0
56;Backhand;0
79;Backhand;0
97;Forehand;0
111;Forehand;0
123;Backhand;0
132;Backhand;0
144;Backhand;0
196;Backhand;0
279;Smash;0
293;Backhand;0
336;Forehand;0
349;Forehand;0
373;Forehand;0
408;Backhand;0
428;Backhand;0
469;Forehand;0
556;Smash;0
588;Backhand;0
606;Backhand;0
619;Backhand;0
635;Backhand;0
666;Backhand;0
683;Forehand;0
696;Backhand;0
726;Smash;0
772;Smash;0
852;Backhand;0
937;Other;0
973;Smash;0
1006;Forehand;0
1024;Backhand;0
1051;Forehand;0
1065;Backhand;0
1084;Forehand;0
1105;Forehand;0
1122;Other;0
