frame;type;from_wall
7;Serve;0
41;Forehand;0
99;Smash;0
120;Forehand;0
143;Backhand;0
165;Backhand;0
232;Forehand;0
272;Smash;0
304;Forehand;0
328;Forehand;0
353;Forehand;0
396;Smash;0
435;Backhand;0
469;Smash;0
502;Forehand;0
541;Smash;0
576;Backhand;0
642;Forehand;0
680;Smash;0
701;Forehand;0
729;Backhand;0
773;Smash;0
811;Forehand;0
833;Backhand;0
857;Forehand;0
865;Other;0
888;Smash;0
927;Backhand;0
937;Forehand;0
950;Forehand;0
971;Smash;0
1014;Forehand;0
1067;Smash;0
1096;Forehand;0
1152;Smash;0
1187;Forehand;0
1202;Forehand;0
1216;Backhand;0
1258;Forehand;0
1291;Backhand;0
