frame;type;from_wall
8;Serve;0
34;Backhand;0
53;Forehand;0
71;Backhand;0
113;Smash;0
142;Forehand;0
161;Backhand;0
199;Backhand;0
258;Forehand;0
298;Smash;0
326;Forehand;0
340;Forehand;0
375;Backhand;0
416;Smash;0
454;Backhand;0
472;Backhand;0
491;Forehand;0
507;Backhand;0
537;Forehand;0
556;Backhand;0
588;Forehand;0
611;Backhand;0
629;Backhand;0
684;Other;0
705;Backhand;0
757;Smash;0
772;Backhand;0
792;Backhand;0
824;Smash;0
855;Forehand;0
902;Forehand;0
944;Smash;0
