frame;type;from_wall
22;Serve;0
50;Backhand;0
92;Other;0
100;Smash;0
138;Backhand;0
189;Smash;0
226;Backhand;0
270;Smash;0
300;Backhand;0
340;Smash;0
355;Backhand;0
372;Backhand;0
441;Forehand;0
505;Other;0
543;Forehand;0
607;Other;0
640;Backhand;0
653;Forehand;0
693;Forehand;0
732;Smash;0
768;Backhand;0
813;Smash;0
832;Backhand;0
854;Backhand;0
885;Forehand;0
924;Smash;0
961;Forehand;0
976;Forehand;0
1022;Backhand;0
1071;Other;0
1101;Forehand;0
1161;Other;0
1188;Smash;0
1199;Forehand;0
1247;Forehand;0
1294;Smash;0
1315;Forehand;0
1326;Backhand;0
1352;Forehand;0
1373;Backhand;0
1398;Backhand;0
1439;Other;0
1476;Forehand;0
1530;Smash;0
1545;Backhand;0
1610;Backhand;0
1658;Smash;0
1684;Forehand;0
1701;Backhand;0
1730;Forehand;0
1774;Smash;0
1821;Backhand;0
1890;Forehand;0
1906;Backhand;0
1942;Other;0
