frame;type;from_wall
14;Serve;0
40;Forehand;0
57;Backhand;0
77;Backhand;0
93;Backhand;0
130;Forehand;0
174;Smash;0
199;Backhand;0
239;Smash;0
269;Other;0
294;Forehand;0
317;Forehand;0
361;Smash;0
374;Backhand;0
407;Forehand;0
456;Smash;0
506;Forehand;0
551;Smash;0
566;Forehand;0
608;Backhand;0
663;Smash;0
706;Forehand;0
768;Smash;0
802;Forehand;0
865;Smash;0
896;Backhand;0
942;Smash;0
972;Backhand;0
1005;Smash;0
1046;Forehand;0
1059;Forehand;0
1073;Backhand;0
1101;Smash;0
1131;Forehand;0
1171;Smash;0
1217;Forehand;0
1281;Smash;0
1291;Backhand;0
1323;Backhand;0
1388;Forehand;0
1409;Other;0
