frame;type;from_wall
33;Serve;0
66;Backhand;0
86;Forehand;0
125;Forehand;0
200;Smash;0
214;Forehand;0
244;Forehand;0
292;Smash;0
327;Backhand;0
352;Smash;0
392;Backhand;0
455;Smash;0
474;Backhand;0
493;Backhand;0
510;Backhand;0
529;Forehand;0
551;Forehand;0
605;Smash;0
640;Forehand;0
655;Backhand;0
679;Forehand;0
703;Backhand;0
739;Forehand;0
776;Smash;0
812;Forehand;0
830;Forehand;0
868;Forehand;0
889;Forehand;0
920;Backhand;0
935;Forehand;0
965;Forehand;0
1016;Smash;0
1061;Backhand;0
1105;Smash;0
1155;Forehand;0
1189;Smash;0
1224;Backhand;0
1263;Smash;0
1309;Forehand;0
1379;Backhand;0
1398;Backhand;0
1448;Forehand;0
1468;Forehand;0
