frame;type;from_wall
12;Serve;0
35;Forehand;0
105;Forehand;0
181;Smash;0
191;Backhand;0
208;Backhand;0
218;Backhand;0
233;Smash;0
242;Backhand;0
255;Backhand;0
273;Forehand;0
310;Smash;0
343;Forehand;0
380;Smash;0
410;Backhand;0
453;Smash;0
467;Backhand;0
488;Backhand;0
499;Forehand;0
512;Backhand;0
546;Smash;0
577;Backhand;0
624;Other;0
643;Backhand;0
677;Forehand;0
695;Backhand;0
721;Forehand;0
773;Smash;0
805;Forehand;0
822;Backhand;0
850;Backhand;0
867;Backhand;0
881;Backhand;0
910;Smash;0
