frame;type;from_wall
17;Serve;0
51;Backhand;0
89;Smash;0
112;Backhand;0
135;Forehand;0
197;Forehand;0
245;Smash;0
280;Backhand;0
318;Smash;0
363;Backhand;0
409;Other;0
435;Forehand;0
469;Smash;0
490;Forehand;0
518;Smash;0
538;Forehand;0
566;Smash;0
589;Forehand;0
614;Forehand;0
642;Forehand;0
676;Smash;0
714;Forehand;0
763;Smash;0
785;Backhand;0
805;Forehand;0
844;Forehand;0
909;Forehand;0
928;Forehand;0
955;Backhand;0
987;Smash;0
1021;Forehand;0
1085;Forehand;0
1124;Smash;0
1153;Forehand;0
1174;Backhand;0
1200;Smash;0
1241;Backhand;0
1279;Smash;0
1291;Backhand;0
1309;Smash;0
1320;Backhand;0
1333;Forehand;0
1341;Backhand;0
1354;Forehand;0
