frame;type;from_wall
18;Serve;0
49;Backhand;0
91;Smash;0
129;Forehand;0
171;Smash;0
209;Forehand;0
231;Other;0
253;Smash;0
270;Backhand;0
313;Backhand;0
337;Backhand;0
380;Smash;0
391;Backhand;0
412;Backhand;0
438;Forehand;0
490;Smash;0
530;Forehand;0
569;Smash;0
580;Backhand;0
596;Forehand;0
637;Other;0
659;Smash;0
678;Backhand;0
699;Forehand;0
727;Backhand;0
766;Smash;0
785;Forehand;0
803;Forehand;0
819;Backhand;0
832;Forehand;0
876;Forehand;0
890;Other;0
919;Smash;0
949;Backhand;0
1001;Smash;0
